Dataset,Model,overall_dataset_auc,overall_dataset_auc_std,student_auc_mean,student_auc_mean_std,student_auc_std,student_auc_std_std,student_auc_max,student_auc_max_std,student_auc_min,student_auc_min_std,student_auc_range,student_auc_range_std,unfairness_metric,average_auc,average_auc_std,gini_coefficient,gini_coefficient_std,eawi_alpha_10,eawi_alpha_10_std,eawi_alpha_20,eawi_alpha_20_std,eawi_alpha_30,eawi_alpha_30_std,Folds_Present
peiyou,dimkt,0.826277,0.000132,0.771058,0.000646,0.06097,0.000292,0.978603,0.004529,0.450144,0.008239,0.528458,0.009979,23.930885,0.771058,0.000646,0.044198,0.000242,0.73698,0.000722,0.704407,0.000818,0.673274,0.000919,"0,1,2,3,4"
peiyou,dkt,0.787378,0.000799,0.715128,0.000708,0.063704,0.000206,0.953922,0.004815,0.418556,0.041448,0.535367,0.039139,20.968305,0.715128,0.000708,0.049696,0.000194,0.679589,0.000751,0.645816,0.000803,0.613721,0.000858,"0,1,2,3,4"
peiyou,dkt+,0.788381,0.000356,0.716572,0.000602,0.063639,0.000158,0.96789,0.004498,0.442475,0.027394,0.525414,0.023531,21.430662,0.716572,0.000602,0.049523,0.00014,0.681085,0.000525,0.647355,0.000469,0.615296,0.000435,"0,1,2,3,4"
peiyou,dkt_forget,0.798024,0.000711,0.728482,0.000777,0.064918,0.000443,0.974839,0.006508,0.444254,0.023398,0.530586,0.027821,21.149508,0.728482,0.000777,0.049877,0.000407,0.692147,0.000982,0.657625,0.001187,0.624825,0.001378,"0,1,2,3,4"
peiyou,dkvmn,0.780951,0.000511,0.709996,0.00075,0.063515,0.000196,0.972914,0.006473,0.424303,0.014756,0.548611,0.010129,20.375815,0.709996,0.00075,0.049776,0.000213,0.674655,0.000764,0.641074,0.000798,0.609164,0.000843,"0,1,2,3,4"
peiyou,gkt,0.774294,0.000925,0.697616,0.001283,0.064955,0.000208,0.971099,0.005657,0.423097,0.016838,0.548002,0.016224,19.598576,0.697616,0.001283,0.051868,0.00018,0.661432,0.001233,0.627125,0.001196,0.594597,0.00117,"0,1,2,3,4"
peiyou,hawkes,0.797363,0.00053,0.755507,0.000259,0.063122,0.00031,0.982641,0.002451,0.457002,0.008253,0.525639,0.009511,22.770357,0.755507,0.000259,0.046745,0.000232,0.720191,0.000413,0.686526,0.000557,0.654435,0.000688,"0,1,2,3,4"
peiyou,kqn,0.781487,0.00076,0.706038,0.000427,0.064315,0.000275,0.958732,0.00264,0.424479,0.034202,0.534252,0.036386,20.548019,0.706038,0.000427,0.050699,0.000205,0.670242,0.000315,0.636262,0.000262,0.604004,0.000279,"0,1,2,3,4"
peiyou,saint,0.811072,0.000717,0.753623,0.000811,0.063,0.000307,0.975143,0.003978,0.495232,0.035854,0.479912,0.034742,24.926154,0.753623,0.000811,0.046817,0.000299,0.71834,0.000974,0.68471,0.001128,0.652654,0.00127,"0,1,2,3,4"
peiyou,sakt,0.771034,0.000555,0.693435,0.000609,0.064276,0.00041,0.978367,0.006856,0.352561,0.040035,0.625806,0.044798,17.239274,0.693435,0.000609,0.051444,0.000299,0.657762,0.000734,0.623924,0.000863,0.591827,0.000987,"0,1,2,3,4"
peiyou,skvmn,0.73921,0.000915,0.643521,0.001743,0.063446,0.000517,0.91396,0.018185,0.320532,0.045353,0.593428,0.050461,17.092022,0.643521,0.001743,0.054795,0.000477,0.60826,0.001934,0.574931,0.002105,0.543429,0.002254,"0,1,2,3,4"
