Dataset,Model,overall_dataset_auc,overall_dataset_auc_std,student_auc_mean,student_auc_mean_std,student_auc_std,student_auc_std_std,student_auc_max,student_auc_max_std,student_auc_min,student_auc_min_std,student_auc_range,student_auc_range_std,unfairness_metric,Folds_Present
nips_task34,sakt,0.759019,0.000522,0.61763,0.00164,0.087689,0.001211,0.988164,0.003348,0.28251,0.080297,0.705653,0.081064,9.981469,"0,1,2,3,4"
nips_task34,skvmn,0.745841,0.000162,0.614201,0.001601,0.080208,0.00094,0.981012,0.003172,0.291242,0.055571,0.68977,0.053868,11.101647,"0,1,2,3,4"
peiyou,akt,0.824817,0.001016,0.768576,0.00167,0.061704,0.000273,0.974767,0.004699,0.459475,0.024092,0.515292,0.025134,24.172358,"0,1,2,3,4"
peiyou,atktfix,0.782546,0.000304,0.70712,0.000702,0.064662,0.000195,0.970176,0.005365,0.351787,0.023466,0.618389,0.02576,17.683951,"0,1,2,3,4"
peiyou,bakt,0.821179,0.000632,0.766333,0.000704,0.061716,0.0005,0.980398,0.001117,0.488037,0.015556,0.492361,0.016363,25.219513,"0,1,2,3,4"
peiyou,deep_irt,0.780573,0.000745,0.709781,0.000881,0.063188,0.000305,0.965537,0.007621,0.388348,0.039412,0.577189,0.042829,19.461445,"0,1,2,3,4"
peiyou,dimkt,0.826277,0.000132,0.771058,0.000646,0.06097,0.000292,0.978603,0.004529,0.450144,0.008239,0.528458,0.009979,23.930885,"0,1,2,3,4"
peiyou,dkt,0.787378,0.000799,0.715128,0.000708,0.063704,0.000206,0.953922,0.004815,0.418556,0.041448,0.535367,0.039139,20.968305,"0,1,2,3,4"
peiyou,dkt+,0.788381,0.000356,0.716572,0.000602,0.063639,0.000158,0.96789,0.004498,0.442475,0.027394,0.525414,0.023531,21.430662,"0,1,2,3,4"
peiyou,dkt_forget,0.798024,0.000711,0.728482,0.000777,0.064918,0.000443,0.974839,0.006508,0.444254,0.023398,0.530586,0.027821,21.149508,"0,1,2,3,4"
peiyou,dkvmn,0.780951,0.000511,0.709996,0.00075,0.063515,0.000196,0.972914,0.006473,0.424303,0.014756,0.548611,0.010129,20.375815,"0,1,2,3,4"
peiyou,gkt,0.774294,0.000925,0.697616,0.001283,0.064955,0.000208,0.971099,0.005657,0.423097,0.016838,0.548002,0.016224,19.598576,"0,1,2,3,4"
peiyou,hawkes,0.797363,0.00053,0.755507,0.000259,0.063122,0.00031,0.982641,0.002451,0.457002,0.008253,0.525639,0.009511,22.770357,"0,1,2,3,4"
peiyou,kqn,0.781487,0.00076,0.706038,0.000427,0.064315,0.000275,0.958732,0.00264,0.424479,0.034202,0.534252,0.036386,20.548019,"0,1,2,3,4"
peiyou,saint,0.811072,0.000717,0.753623,0.000811,0.063,0.000307,0.975143,0.003978,0.495232,0.035854,0.479912,0.034742,24.926154,"0,1,2,3,4"
peiyou,sakt,0.771034,0.000555,0.693435,0.000609,0.064276,0.00041,0.978367,0.006856,0.352561,0.040035,0.625806,0.044798,17.239274,"0,1,2,3,4"
peiyou,skvmn,0.73921,0.000915,0.643521,0.001743,0.063446,0.000517,0.91396,0.018185,0.320532,0.045353,0.593428,0.050461,17.092022,"0,1,2,3,4"
